id,title,type,professor,room,dayIndex,startRow,span
1,Astronomie,curs,BLAGA Cristina,7/I,1,4,2
2,Software matematic,curs,PARAJDI LORAND,C310,1,4,2
3,Ecuatii cu derivate partiale,sem,TRIF Tiberiu,7/I,1,8,2
4,Astronomie,lab,BLAGA Cristina,Obs,1,12,2
5,Software matematic,lab,PARAJDI LORAND,MOS-S15,2,2,2
6,Interactiunea om-calculator,lab,GURAN Adriana,MOS-S16,2,4,2
7,Statistica matematica,curs,ROSCA Natalia,6/II,2,6,2
8,Limbaje formale si tehnici de compilare,curs,GURAN Adriana,6/II,3,8,2
9,Analiza functionala,curs,BRECKNER Brigitte,7/I,3,10,2
10,Analiza functionala,sem,BRECKNER Brigitte,7/I,3,12,2
11,Principiile retelelor de calculatoare,curs,DRAGOS Radu,C310,4,4,2
12,Instrumente CASE,lab,CHIOREAN Dan,L001,4,4,2
13,Statistica matematica,sem,ROSCA Natalia,C510,4,6,2
14,Instrumente CASE,curs,CHIOREAN Dan,L001,4,8,2
15,Interactiunea om-calculator,curs,GURAN Adriana,6/II,4,8,2
16,Ecuatii cu derivate partiale,curs,BUICA Adriana,StEur-Ferdinand,5,2,2
17,Proiect colectiv,lab,Mentor Proiect,AVM,5,8,2
