id,title,type,professor,room,dayIndex,startRow,span
1,Instruire asistata de calculator,curs,MAIER Mariana,DPPD-205,1,2,2
2,Astronomie,curs,BLAGA Cristina,7/I,1,4,2
3,Software matematic,curs,PARAJDI LORAND,C310,1,4,2
4,Instruire asistata de calculator,sem,MAIER Mariana,DPPD-205,1,4,2
5,Astronomie,lab,BLAGA Cristina,Obs,1,10,2
6,Ecuatii cu derivate partiale,sem,TRIF Tiberiu,A313,2,2,2
7,Statistica matematica,curs,ROSCA Natalia,6/II,2,6,2
8,Statistica matematica,sem,ROSCA Natalia,A313,2,10,2
9,Limbaje formale si tehnici de compilare,curs,GURAN Adriana,6/II,3,8,2
10,Analiza functionala,curs,BRECKNER Brigitte,7/I,3,10,2
11,Analiza functionala,sem,BRECKNER Brigitte,7/I,3,12,2
12,Principiile retelelor de calculatoare,lab,DRAGOS Radu,L320,4,2,2
13,Principiile retelelor de calculatoare,curs,DRAGOS Radu,C310,4,4,2
14,Instrumente CASE,curs,CHIOREAN Dan,L001,4,8,2
15,Interactiunea om-calculator,curs,GURAN Adriana,6/II,4,8,2
16,Statistica matematica,lab,FODOR Valerian Alin,L439,4,10,2
17,Ecuatii cu derivate partiale,curs,BUICA Adriana,StEur-Ferdinand,5,2,2
18,Software matematic,lab,PARAJDI LORAND,9/I,5,4,2
19,Proiect colectiv,lab,Mentor Proiect,MOS-S16,5,6,2
